ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
GSE84437_GSM2235906	-33.6993970168286	1006.76423363113	973.064836614303	0.733171855538231
GSE84437_GSM2235907	-153.649457008834	1303.42384664955	1149.77438964071	0.715287612020249
GSE84437_GSM2235908	521.440420524238	818.599370083519	1340.03979060776	0.695493743471217
GSE84437_GSM2235909	173.17391849909	1159.35903836137	1332.53295686046	0.696285083226932
GSE84437_GSM2235910	779.890709383729	2382.67873019561	3162.56943957934	0.480812061118056
GSE84437_GSM2235921	-765.469784443002	132.856595947369	-632.613188495634	0.871704218442916
GSE84437_GSM2235922	156.584675485587	1658.77085975573	1815.35553524132	0.643709682811052
GSE84437_GSM2235923	-292.043519712309	292.419173294919	0.375653582609914	0.822478013581558
GSE84437_GSM2235924	-164.365460724471	506.205452113839	341.839991389368	0.792947194490873
GSE84437_GSM2235925	-164.750350135173	1188.48381539784	1023.73346526266	0.72809375535555
GSE84437_GSM2235926	1007.1089255658	2512.16341662684	3519.27234219264	0.434263745578437
GSE84437_GSM2235927	-867.487012357019	-4.45376426656838	-871.940776623587	0.888377914835003
GSE84437_GSM2235928	-61.77994868702	286.229557156627	224.449608469607	0.803327969659739
GSE84437_GSM2235929	1795.10690286758	1855.80083003319	3650.90773290077	0.416778286040455
GSE84437_GSM2235930	204.507995035476	1026.16961942127	1230.67761445674	0.706938302586966
GSE84437_GSM2235931	-370.816563309391	1765.23144974083	1394.41488643144	0.68973659059707
GSE84437_GSM2235932	-951.289758796961	1002.25457028567	50.9648114887077	0.818231545332421
GSE84437_GSM2235933	1845.69187499338	2083.10654830073	3928.79842329411	0.379362403602777
GSE84437_GSM2235934	1101.64085722646	3101.3779120564	4203.01876928286	0.341821742426233
GSE84437_GSM2235935	579.422424197484	1509.65882882003	2089.08125301751	0.612450062365595
GSE84437_GSM2235936	-246.758445610693	948.680179164686	701.921733553993	0.759650258589803
GSE84437_GSM2235937	-389.195717493998	1009.70230353365	620.506586039652	0.767367812100005
GSE84437_GSM2235938	-859.515249653283	661.477536602478	-198.037713050806	0.83869294667131
GSE84437_GSM2235939	759.028675108698	1249.15312968598	2008.18180479468	0.621794036190536
GSE84437_GSM2235940	883.835362851855	2117.77026967537	3001.60563252723	0.501393186064044
GSE84437_GSM2235941	377.916616861951	2343.94998156287	2721.86659842483	0.536488587003326
GSE84437_GSM2235942	-608.282065218815	1007.26156084882	398.979495630004	0.787808991160999
GSE84437_GSM2235943	876.673273746178	2359.26761687398	3235.94089062015	0.471340898837953
GSE84437_GSM2235944	1081.5132557498	2222.06691167279	3303.58016742259	0.46256121713694
GSE84437_GSM2235945	764.056786543994	1310.41300862818	2074.46979517217	0.614144130778643
GSE84437_GSM2235946	-678.067633889185	1048.39640055877	370.328766669588	0.7903923248546
GSE84437_GSM2235947	-115.052509391564	2062.08371615363	1947.03120676207	0.628798878659957
GSE84437_GSM2235948	1694.39351564966	2023.35783105948	3717.75134670914	0.407839299703476
GSE84437_GSM2235949	382.952065265531	2433.99987165541	2816.95193692094	0.524657937252962
GSE84437_GSM2235950	1145.88074079802	1078.3324264236	2224.21316722162	0.59665022563605
GSE84437_GSM2235951	1443.22690016397	1364.93641913171	2808.16331929568	0.525755751441375
GSE84437_GSM2235952	-517.020964841615	1115.96140805941	598.940443217795	0.769393807310437
GSE84437_GSM2235953	-177.921708882982	-129.11805529776	-307.039764180741	0.847299023363362
GSE84437_GSM2235954	612.647210049869	2028.99786521005	2641.64507525992	0.546388670600801
GSE84437_GSM2235955	543.160430077767	1326.34573549676	1869.50616557452	0.637606523680817
GSE84437_GSM2235956	-633.511614997649	82.9869451965051	-550.524669801144	0.865736363862088
GSE84437_GSM2235957	143.835871402134	1359.2837606317	1503.11963203383	0.678095736051536
GSE84437_GSM2235958	919.774683086116	1148.38238840255	2068.15707148866	0.614875161372348
GSE84437_GSM2235959	-1205.96719473072	340.414357720169	-865.552837010556	0.887947025437248
GSE84437_GSM2235960	-651.376604918885	929.351346440019	277.974741521134	0.7986241680331
GSE84437_GSM2235961	1281.74475134037	1148.45760242705	2430.20235376741	0.572116102263383
GSE84437_GSM2235962	301.639506828065	1404.94256961503	1706.5820764431	0.655845932640911
GSE84437_GSM2235963	-1018.166484688	82.4825507157636	-935.683933972239	0.892634771866506
GSE84437_GSM2235964	419.208404719991	2213.1178978529	2632.32630257289	0.547533808462161
GSE84437_GSM2235965	-804.23794450018	1093.31735089233	289.079406392148	0.797642102808424
GSE84437_GSM2235966	-19.5700284657293	1246.36613136851	1226.79610290278	0.707341165564271
GSE84437_GSM2235967	-1292.73633093912	-666.03935259003	-1958.77568352915	0.950030838172768
GSE84437_GSM2235968	84.3561823989344	447.725721117155	532.081903516089	0.775625627007227
GSE84437_GSM2235969	-465.912005125238	1217.31008362615	751.398078500908	0.754907196749707
GSE84437_GSM2235970	1109.95152422286	1666.10321311987	2776.05473734273	0.529759084913788
GSE84437_GSM2235971	975.171924370552	1904.81769833965	2879.98962271021	0.516758217208667
GSE84437_GSM2235972	-1202.6630357281	427.914703170296	-774.7483325578	0.881737691483155
GSE84437_GSM2235973	-836.822784190573	220.320440952011	-616.502343238562	0.870542911566707
GSE84437_GSM2235974	-1193.90294451772	100.366535249892	-1093.53640926783	0.902839222228774
GSE84437_GSM2235975	-586.804030968451	2048.5521080468	1461.74807707835	0.682546599574541
GSE84437_GSM2235976	-269.348108073181	1972.758747154	1703.41063908082	0.656197287886351
GSE84437_GSM2235977	9.05638275322537	-95.3536352641296	-86.2972525109043	0.829647816997327
GSE84437_GSM2235978	854.024471622629	2594.05708282369	3448.08155444632	0.443653058114121
GSE84437_GSM2235979	265.616739333513	1100.35021347684	1365.96695281035	0.692754118810795
GSE84437_GSM2235980	141.939298144037	2251.22066096807	2393.15995911211	0.576567224614814
GSE84437_GSM2235981	198.053951850254	1660.09257520037	1858.14652705063	0.638890187267487
GSE84437_GSM2235982	523.124872146426	1877.58549540553	2400.71036755195	0.575661324376615
GSE84437_GSM2235983	1050.72840182479	2927.96474164159	3978.69314346638	0.372575803406207
GSE84437_GSM2235984	-215.369102154991	1063.97107674893	848.601974593935	0.745472999910034
GSE84437_GSM2235985	92.1012311114863	1936.32253607482	2028.42376718631	0.619464241253457
GSE84437_GSM2235986	-203.515467479947	1025.68715553496	822.171688055012	0.748053315118921
